Username,Time,Content,Reply Count,Retweet Count,Like Count
おしん,2023-06-15T14:29:31.000Z,今週末のマルチ、珍しく用事のない土曜日なので出られると一瞬思ったけどアモリンクとかよくわからないし、よくよく考えたらまともに戦える艦がなく、兵装自体ろくすっぽ整ってないんだった。,1,0,0
もっさん,2023-06-15T14:29:31.000Z,"『オトギフロンティア R』をプレイ中の皆様！
FANZA GAMES のキャンペーンに参加すると、「スタージェム500個」が全員必ず貰える♪
#オトギフロンティア

FANZA GAMES FESTIVALは、7/18まで開催！
詳細：https://rcv.ixd.dmm.com/api/surl?urid=eutg9BJn…
#FANZAGAMESFES2023夏",0,0,0
User64835748438,2023-06-15T14:29:30.000Z,"Install an app called Truecaller. It filters most of these calls for you. Free version or paid for, up to you. It's a game changer when dealing with call centers.",0,0,0
Andrew Prince,2023-06-15T14:29:30.000Z,"I wouldn't argue with anything you said because it is all true, except to say, they are playing FOUR road games out of 12 and they leave their own state THREE times.....",0,0,0
フォルネウス,2023-06-15T14:29:30.000Z,あらま、マナに入り浸ってるからそんな事になってるとは…,0,0,0
FrankTang,2023-06-15T14:29:30.000Z,"『アリス・ギア・アイギス』をプレイ中の皆様！
DMM GAMES のキャンペーンに参加すると、「新服袋×1」が全員必ず貰える♪
#アリスギア

DMM GAMES FESTIVALは、7/18まで開催！
詳細：https://rcv.ixd.dmm.com/api/surl?urid=NHHzxAAD…
#DMMGAMESFES2023夏",0,0,0
Ben L-P,2023-06-15T14:29:30.000Z,"They're really not trying to be likable are they?

I wonder how much incentive they have through Russia to play NATO dissidents. It seems a dangerous and potentially costly game to play.",0,0,0
Eolyne Le Fae,2023-06-15T14:29:30.000Z,The more recent games like frontiers?,0,0,0
すい,2023-06-15T14:29:30.000Z,"( ﾟдﾟ )　ｯｶﾞﾀｯ まさかの…！
あたいの絵にそんな価値は…と言いたいところですが、模写してもらったらきっと断然素晴らしいものが出来上がるので見てみたい気持ちありますね",0,0,0
Brandon Allaby,2023-06-15T14:29:29.000Z,"Twins last game, Petey’s first game",0,0,0
